Name of sample,Sum of weights,Croos-section,Final weight for merging,
EE_Summer20UL18_WW_output.root,15670100,75.88,0.00484234306098876,C2*1000/B2
EE_Summer20UL18_WZ_output.root,7990000,27.54,0.0034468085106383,
EE_Summer20UL18_ZZ_output.root,3910000,12.16,0.00310997442455243,
,,,,
EE_Summer19UL18_ST_t4f_antitop_output.root,1497710000,80.95,0.0000540491817508062,
EE_Summer19UL18_ST_t4f_top_output.root,5070460000,136.02,0.0000268259684525664,
EE_Summer20UL18_ST_s_lep_output.root,5070460000,3.45,0.00000068041163918067,
EE_Summer20UL18_ST_tW_antitop_output.root,380184000,35.85,0.0000942964459314437,
EE_Summer20UL18_ST_tW_top_output.root,373391000,35.85,0.0000960119552961909,
,,,,
EE_Summer19UL18_QCD_MG_100to200_output.root,76676500,23590000,307.65619192321,
EE_Summer19UL18_QCD_MG_200to300_output.root,34740000,1551000,44.6459412780656,
EE_Summer19UL18_QCD_MG_300to500_output.root,55135100,323400,5.86559197317136,
EE_Summer19UL18_QCD_MG_500to700_output.root,58487200,30140,0.515326430398446,
EE_Summer19UL18_QCD_MG_700to1000_output.root,47703400,6344,0.132988424305186,
EE_Summer19UL18_QCD_MG_1000to1500_output.root,15675600,1092,0.0696624052667841,
EE_Summer19UL18_QCD_MG_1500to2000_output.root,10612900,99.76,0.00939988127655966,
EE_Summer19UL18_QCD_MG_2000toInf_output.root,4504260,20.35,0.00451794523406731,
,,,,
EE_Summer20UL18_DYJetsToLL_M-10to50_output.root,98841300,15880,0.160661585794602,
EE_Summer20UL18_DYJetsToLL_M-50_HT-70to100_output.root,19432100,139.8,0.00719428162679278,
EE_Summer20UL18_DYJetsToLL_M-50_HT-100To200_output.root,27300000,140.5,0.00514652014652015,
EE_Summer20UL18_DYJetsToLL_M-50_HT-200To400_output.root,18884000,38.39,0.00203293793687778,
EE_Summer20UL18_DYJetsToLL_M-50_HT-400To600_output.root,8910000,5.213,0.000585072951739618,
EE_Summer20UL18_DYJetsToLL_M-50_HT-600To800_output.root,7370000,1.269,0.000172184531886024,
EE_Summer20UL18_DYJetsToLL_M-50_HT-800To1200_output.root,7890000,0.5683,0.0000720278833967047,
EE_Summer20UL18_DYJetsToLL_M-50_HT-1200To2500_output.root,7270000,0.1333,0.0000183356258596974,
EE_Summer20UL18_DYJetsToLL_M-50_HT-2500toInf_output.root,1978200,0.002987,0.00000150995854817511,
,,,,
EE_Summer20UL18_TTBar_DiLeptonic_non-signal_output.root,10710300000,88.29,0.00000824346656956388,
EE_Summer20UL18_TTBar_Hadronic_non-signal_output.root,109060000000,377.96,0.00000346561525765634,
EE_Summer20UL18_TTBar_SemiLeptonic_non-signal_output.root,148958000000,365.34,0.0000024526376562521,
,,,,
EE_Summer20UL18_TTBar_DiLeptonic_signal_output.root,10710300000,88.29,0.00000824346656956388,
EE_Summer20UL18_TTBar_Hadronic_signal_output.root,109060000000,377.96,0.00000346561525765634,
EE_Summer20UL18_TTBar_SemiLeptonic_signal_output.root,148958000000,365.34,0.0000024526376562521,
,,,,
EE_Summer20UL18_WJetsToLNu_HT-70to100_output.root,66758400,1273,0.0190687613843352,
EE_Summer20UL18_WJetsToLNu_HT-100To200_output.root,66195400,1255,0.0189590213217233,
EE_Summer20UL18_WJetsToLNu_HT-200To400_output.root,58415600,336.1,0.00575360006573586,
EE_Summer20UL18_WJetsToLNu_HT-400To600_output.root,7545620,45.17,0.00598625427731585,
EE_Summer20UL18_WJetsToLNu_HT-600To800_output.root,7560000,10.97,0.0014510582010582,
EE_Summer20UL18_WJetsToLNu_HT-800To1200_output.root,7420000,4.931,0.00066455525606469,
EE_Summer20UL18_WJetsToLNu_HT-1200To2500_output.root,5514060,1.157,0.000209827241633207,
EE_Autumn18_WJetsToLNu_HT-2500toInf_output.root,3189400,0.008047,0.00000252304508685019,
,,,,
/TTWJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8/RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v2/MINIAODSIM,3527170,0.2169,0.0000614940589764599,
/TTWJetsToQQ_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8/RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v1/MINIAODSIM,656374,0.4369,0.000665626609219744,
/TTZToLLNuNu_M-10_TuneCP5_13TeV-amcatnlo-pythia8/RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v2/MINIAODSIM,4876490,0.2439,0.0000500154824474161,
/TTZToQQ_TuneCP5_13TeV-amcatnlo-pythia8/RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v2/MINIAODSIM,10208000,0.5113,0.0000500881661442006,
/TTGJets_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8/RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v1/MINIAODSIM,29335100,3.772,0.00012858316487757,
